Designator,Mid X,Mid Y,Rotation,Layer
BC1,216.755,-77.01,270.0,top
C1,195.665,-79.25,0.0,top
C2,195.665,-75.75,0.0,top
C3,220.565,-63.05,180.0,top
D1,181.275,-63.25,0.0,top
D7,195.64,-86.8,0.0,top
D8,181.275,-69.25,0.0,top
J1,200.05,-95.45,0.0,top
J2,214.54,-53.7875,180.0,top
J3,199.995,-56.055,180.0,top
K2,184.49,-83.7,90.0,top
Q1,205.4775,-84.75,180.0,top
R1,187.0775,-63.25,180.0,top
R4,220.5775,-73.75,180.0,top
R5,220.5775,-66.65,180.0,top
R6,220.54,-70.35,180.0,top
R7,220.5775,-86.97,0.0,top
R8,201.04,-84.7625,90.0,top
R9,195.5775,-83.3,180.0,top
U1,199.78,-76.4275,270.0,top
U2,203.19,-77.25,180.0,top
U4,219.04,-79.97,180.0,top
